Symbol\Weightage,['apr12']
ACC,0.7
AMBUJACEM,0.69
ASIANPAINT,0.98
AXISBANK,1.74
BAJAJ-AUTO,1.33
BANKBARODA,0.88
BHARTIARTL,2.27
BHEL,1.08
BPCL,0.53
CAIRN,0.77
CIPLA,0.97
COALINDIA,1.36
DLF,0.42
DRREDDY,1.36
GAIL,0.91
GRASIM,0.99
HCLTECH,0.78
HDFC,6.08
HDFCBANK,5.97
HEROMOTOCO,1.31
HINDALCO,0.95
HINDUNILVR,2.62
ICICIBANK,6.21
IDFC,0.9
INFY,7.25
ITC,8.09
JINDALSTEL,1.19
JPASSOCIAT,0.52
KOTAKBANK,1.32
LT,4.03
M&M,1.99
MARUTI,1.11
NTPC,1.27
ONGC,2.92
PNB,0.69
POWERGRID,0.96
RANBAXY,0.47
RELIANCE,7.68
RELINFRA,0.44
SAIL,0.34
SBIN,3.37
SESAGOA,0.45
SIEMENS,0.4
STER,0.91
SUNPHARMA,1.38
TATAMOTORS,3.38
TATAPOWER,1.04
TATASTEEL,1.9
TCS,3.86
WIPRO,1.26
,100
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['apr13']
,%
ACC,0.6
AMBUJACEM,0.75
ASIANPAINT,1.11
AXISBANK,2.47
BAJAJ-AUTO,1.33
BANKBARODA,0.62
BHARTIARTL,2
BHEL,0.8
BPCL,0.56
CAIRN,0.97
CIPLA,1.08
COALINDIA,1.06
DLF,0.46
DRREDDY,1.35
GAIL,0.83
GRASIM,0.98
HCLTECH,1
HDFC,6.89
HDFCBANK,6.57
HEROMOTOCO,0.82
HINDALCO,0.66
HINDUNILVR,3.15
ICICIBANK,7.05
IDFC,0.99
INDUSINDBK,1.03
INFY,5.66
ITC,9.46
JINDALSTEL,0.61
JPASSOCIAT,0.47
KOTAKBANK,1.4
LT,4.3
LUPIN,0.88
M&M,2.23
MARUTI,1.16
NMDC,0.52
NTPC,1.7
ONGC,3.04
PNB,0.54
POWERGRID,0.83
RANBAXY,0.37
RELIANCE,6.8
RELINFRA,0.27
SBIN,3.07
SESAGOA,0.33
SUNPHARMA,1.88
TATAMOTORS,2.79
TATAPOWER,0.81
TATASTEEL,1.06
TCS,3.69
ULTRACEMCO,1.01
,100
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbol\Weightage,['apr14']
,%
ACC,0.54
AMBUJACEM,0.68
ASIANPAINT,1.02
AXISBANK,2.10
BAJAJ-AUTO,1.14
BANKBARODA,0.70
BHARTIARTL,1.74
BHEL,0.64
BPCL,0.52
CAIRN,0.88
CIPLA,0.90
COALINDIA,0.82
DLF,0.28
